Time: 2020-06-08 19:48:15.297227, Messages:  0 , New Members Joined: 0 , Total Members count = 5 
Time: 2020-06-08 20:16:52.422965, Messages:  0 , New Members Joined: 0 , Total Members count = 5 
Time: 2020-06-08 20:18:24.691688, Messages:  1 , New Members Joined: 0 , Total Members count = 5 
Time: 2020-06-08 20:20:50.211343, Messages:  1 , New Members Joined: 0 , Total Members count = 5 
Time: 2020-06-08 20:32:18.057599, Messages:  0 , New Members Joined: 0 , Total Members count = 5 
Time: 2020-06-08 20:32:23.045892, Messages:  0 , New Members Joined: 0 , Total Members count = 5 
Time: 2020-06-08 20:32:28.050963, Messages:  2 , New Members Joined: 0 , Total Members count = 5 
Time: 2020-06-08 20:32:33.056573, Messages:  2 , New Members Joined: 0 , Total Members count = 5 
Time: 2020-06-08 20:32:38.056201, Messages:  0 , New Members Joined: 0 , Total Members count = 5 
Time: 2020-06-08 20:32:47.989668, Messages:  1 , New Members Joined: 0 , Total Members count = 5 
Time: 2020-06-08 20:41:27.632266, Messages:  0 , New Members Joined: 0 , Total Members count = 5 
Time: 2020-06-08 20:43:39.800180, Messages:  1 , New Members Joined: 0 , Total Members count = 5 
Time: 2020-06-08 20:48:25.086089, Messages:  0 , New Members Joined: 0 , Total Members count = 5 
Time: 2020-06-08 20:51:00.052705, Messages:  0 , New Members Joined: 0 , Total Members count = 5 
Time: 2020-06-08 21:06:05.342185, Messages:  0 , New Members Joined: 0 , Total Members count = 5 
Time: 2020-06-08 21:10:41.157617, Messages:  0 , New Members Joined: 0 , Total Members count = 5 
Time: 2020-06-08 21:15:10.494908, Messages:  0 , New Members Joined: 0 , Total Members count = 5 
